listing,price,brand,size
❤️ Gucci Soho Medium Bag,575.0,Gucci,OS
Louis Vuitton Multicolor Monogram Alma White (2004),2500.0,Louis Vuitton,OS
Kate Spade Jar Garden Vine Flat Blue And Beige Crossbody Bag Purse,81.0,kate spade new york,OS
The Sak Knit Tote Bag,35.0,,OS
"NWT Unbranded tote black red white colorblock shoulder bag purse Preppy
          
      NWT",20.0,Source Unknown,OS
Vintage Lands' End Red Patent Leather Tote Bag,35.0,Lands' End,OS
"Gold Quilted Chain Strap Backpack Purse
          
      NWT",45.0,,
"Juicy Couture Denim and White Crossbody Bag
          
      Boutique",125.0,Juicy Couture,OS
"Vera Bradley Waterproof Phone Pouch Lanyard NWT Summer Waterpark Protector
          
      NWT",24.0,Vera Bradley,OS
"Colorblock Handmade Real Mink Fur & Fox Fur Removable leather Handles Bag
          
      NWT",219.0,Laurie's Collection,OS
✅AUTHENTIC✅LOUIS VUITTON ACCESSORY CROSSBODY BAG,500.0,Louis Vuitton,OS
VALENTINA ITALIAN MADE PEBBLED LEATHER GRAY AND TAN BUCKET SHOULDER BAG EUC,36.0,Valentina,OS
"Coach Prairie Satchel Wine Metallic
Leather",20.0,Coach,OS
CUSTOM BCBG Embellished Black Slouch Leather Bag.,57.0,BCBG,OS
🌼Cute evening hand bag.,15.0,sasha,OS
"Fashion Designer V Black Quilted Shoulder Bag
          
      Boutique",45.0,,OS
Michael Kors Maddie zip top tote  Leather Tote,139.0,Michael Kors,OS
LOUIS VUITTON Key Case Monogram Beige Monogram Canvas Authentic,49.0,Louis Vuitton,OS
Kate Spade Kirk Park Mason Saffiano,60.0,Kate Spade,OS
Medium Goyard Black & Tan Tote Style,329.0,,OS
"Trader Joe’s Blue Mini Tote Canvas NWT
          
      NWT",29.0,Trader Joe'S,OS
Bohemian Crossbody Cloth Bag,20.0,,OS
Vintage 60 Hollywood Cream Gold Paisley Clutch Purse Wallet Handbag,22.0,Unbranded,OS
Kate spade Saturday orange wallet,30.0,kate spade,OS
Foley + Corinna Rebel Crossbody,29.0,Foley + Corinna,OS
Vintage Dooney & Bourke AWL Taupe Pebbled Leather Shopper/Satchel,75.0,Dooney & Bourke,OS
Old Navy Drawstring Pack,12.0,Old Navy,OS
💎✨BEAUTIFUL✨💎Authentic Louis Vuitton Damier Ebene Geronimos Crossbody Bag,1258.0,Louis Vuitton,OS
Dooney & Bourke Signature Large Shoulder Bag & Eyeglasses case,90.0,Dooney & Bourke,OS
"Heart Shaped Crossbody Bag
          
      Boutique",128.0,Anthropologie,OS
"🆕🔥NWT! Cosmic Coach City Tote Bag Signature Canvas w/ Rexy Print, Msrp:$450.00
          
      NWT",279.0,Coach,Large
Elegant Loeffler Randall Light Pink Leather Shoulder Bag,79.0,Loeffler Randall,OS
Golden Goose | dusty rose star mini crossbody bag,283.0,Golden Goose,OS
Coach Morgan Brown and Tan Signature Bag and matching wallet set NWOT,280.0,Coach,OS
Fancy Forest Kalidi Backpack Knapsack Bookbag Hiking Outdoor Camping,30.0,Kalidi,OS
"NWT Kate Spade Dana Small Flap Crossbody
          
      NWT",110.0,kate spade,OS
LeSportsac Hawaii Exclusive Everyday Deluxe Shoulder Bag,65.0,Lesportsac,OS
Kipling Alvar♥️Red Rouge Large Nylon Crossbody Travel Bag,55.0,Kipling,OS
Michael Kors Snap Wallet with Card Case Insert,55.0,Michael Kors,5.5x3.8 in (card case: 3.8x2.75 in)
Picnic at Ascot Wine & Cheese Cooler Bag,42.0,Picnic at Ascot,OS
"NWA tory burch canvas small tote, crossbody blue 156529
          
      Boutique",248.0,Tory Burch,OS
New Vintage Bath & Body Works Hot Pink Heart Shaped Makeup Bag,15.0,Bath & Body Works,OS
"RED LXURY MYSTICAL BAG CHARM VICTORIA COACH BIRKIN ACCESSORY RED HEART POUCH ART
          
      Boutique",65.0,The Luxe,OS
"NWT J. Jill Blue Canvas Tote Beach Bag
          
      NWT",20.0,J. Jill,OS
Lionel Leather Handbag Bag Purse‎ with Studs and Aztec Design Large,23.0,Lioness,OS
Woven Tan Crossbody Bag,10.0,,OS
"Time and Tru Women's Calvin Tote Bag
          
      NWT",15.0,Time and Tru,OS
Vintage Michael Kors Tan Leather Crocodile Embossed Handbag,175.0,Michael Kors,OS
Coach Bifold Wallet White Leather Snap Closure,50.0,Coach,OS
